Image	A10_D11	A10_B18
1	2,98	2,62
1	0,974	1,76
1	1,42	1,97
1	1,89	2,52
1	2,43	2,24
1	2,22	1,49
1	1,16	0,9
1	1,09	2,16
1	0,919	1,07
1	1,2	1,77
1	1,35	0,659
1	1,54	1,2
1	1,57	1,67
1	1,45	1,68
1	1,95	2,64
1	1,81	2,19
2a	1,28	1,38
2a	1,38	1,66
2a	0,641	0,803
2a	1,3	1,5
2a	1,1	1,39
2a	1,78	1,88
2a	1,33	1,79
2	1,87	1,77
2	1,75	2,12
2	1,43	1,88
2	1,04	1,81
2	1,58	1,8
2	0,75	1,02
2	1,36	1,52
2	1,74	2,01
2	1,29	1,92
2	3,15	3,53
3a	1,49	1,21
3a	2,12	2,35
3a	1,79	1,79
3a	1,8	2,09
3a	0,23	0,527
3a	1,1	1,66
3a	1,66	1,08
3a	0,338	0,521
4	1,88	1,43
4	1,97	2,16
4	1,85	1,99
4	1,95	1,54
4	1,33	1,39
4	0,673	0,476
4	0,504	0,912
5	1,45	1,1
5	1,05	1,38
5	1,22	0,457
5	1,44	1,82
5	3,22	2,72
5	2,23	2,05
5	0,792	0,635
5	1,18	1,01
5	0,786	0,666
5	1,54	1,96
5	0,641	0,941
5	0,918	1,18
5	1,22	1,29
5	1,66	1,27
5	0,906	1,33
5	1,16	1,75
5	1,44	1,86
5	1,89	1,83
5	2,04	1,97
5	1,22	1,29
6	1,05	1,16
6	0,511	0,826
6	1,07	0,672
6	1,78	1,1
6	2,55	2,79
6	2,09	1,99
6	2,02	1,55
6	1,95	2,51
6	1,14	1,38
6	1,3	0,619
6	3,24	3,85
6	0,9	1,02
6	1,66	1,3
6	1,03	0,99
6	1,14	1,52
6	1,31	0,517
6	1,55	1,74
7	1,19	0,884
7	1,69	1,44
7	2,1	2,22
7	1,35	1,15
7	0,746	0,791
7	2,71	2,31
7	1,38	1,05
9	1,71	1,99
9	2,84	2,58
9	1,92	1,69
9	1,64	1,95
9	0,847	1,16
9	0,888	1,15
10	0,75	0,522
10	0,414	0,729
10	0,75	0,522
