Image	A10_D11	A10_B18
1	2,16	1,87
1	0,724	0,747
1	2,3	2,2
1	2,64	1,88
1	1,81	1,15
1001	1,47	1,07
1001	1,91	2,04
1001	0,881	0,572
1002	0,881	0,823
1002	0,709	0,929
1002	2,47	2,67
1002	3,2	3,2
1003	0,547	0,672
1004	1,91	2,14
1004	2,72	2,5
1004	1,21	1,88
1007	1,46	1,39
1007	0,314	0,404
1007	0,774	1,05
1007	0,732	0,641
1009	1,38	1,62
1009	1,26	1,48
1009	0,711	0,899
1009	1,05	0,688
1010	1,09	1,19
1010	2,72	1,45
1010	1,09	1,19
1010	1,74	1,26
1010	2,93	2,77
1010	0,91	1,26
1010	1,07	1,04
1010	1,11	1,42
1013	1,67	1,76
1013	1,78	2,16
1013	0,703	0,638
1014	0,844	1,53
1014	0,54	0,379
1014	0,73	0,79
1014	1,41	1,09
1015	0,728	1,16
1015	0,963	1,73
1015	0,596	0,952
1016	0,716	0,827
1016	2,47	1,76
1016	1,86	1,89
1019	1,18	1,24
1019	2,23	2,69
1020	1,28	0,428
1020	1,06	0,696
1020	2,89	2,63
1021	0,668	0,975
1021	1,91	1,68
1022	1,72	1,65
1022	2,79	2,58
1022	2,86	2,44
4001	1,21	1,53
4002	3,53	2,81
4002	1,73	1,58
4003	1,04	1,65
4003	2,14	2,41
4003	1,64	0,476
4003	2,64	2,12
4003	1,67	1,59
4003	1,95	1,51
4004	1,71	2,1
4004	1,31	0,769
4005	2,61	2,49
4005	0,659	1,16
4005	1,38	0,927
4005	1,81	1,96
4007	2,13	1,91
4007	0,979	1,28
4007	0,892	0,575
4007	1,27	0,978
4009	1,29	1,52
4009	1,87	1,87
4009	1,26	1,1
4009	1,78	2,18
4009	1,07	0,446
4010	1,13	1,35
4010	1,95	1,52
4011	1,45	1,56
4011	1,12	1,67
4011	1,67	1,44
4011	3,08	2,98
4011	1,87	1,75
4011	2,07	3,23
4011	0,317	0,469
