Image	O12_J10	O12_D3
1002	1,61	1,52
1002	1,84	1,76
1002	0,587	0,351
1002	0,765	0,543
1002	1,45	2,12
1005	0,326	1,02
1006	1,47	1,17
1006	1,47	1,93
1006	2,22	1,73
1007	1,71	1,35
1007	1,8	1,48
1007	2,65	2,31
1008	1,35	0,694
1008	0,659	1,12
1008	1,59	0,936
1008	1,23	2
1008	0,761	0,814
1009	1,1	1,73
1009	0,588	0,258
1009	0,329	1,17
1009	1,11	1,69
1010	1	1,37
1010	1,08	1,64
1010	0,66	0,77
1011	1,67	1,11
1011	1,55	1,33
1011	1,44	0,64
1011	1,32	1,38
1012	1,18	1,6
1012	1,09	1,09
1013	0,456	1,57
1013	1,53	1,02
1013	0,631	1,27
1013	0,891	1,42
1014	1,12	1,2
1014	0,718	0,773
1014	1,18	1,94
1015	0,62	1,27
1015	1,13	1,09
1015	2,68	2,15
1015	0,976	1,25
1016	1,84	1,96
1016	1,69	1,17
1016	1,45	1,28
1016	1,2	1,22
1018	0,716	0,544
1018	1,51	1,24
1018	2,79	2,22
1019	1,51	0,533
1019	2,7	2,48
1021	0,656	1,33
1021	0,896	0,596
1021	2,32	2,54
1022	2	2,48
1022	2,9	1,83
1022	1,2	0,345
1022	0,713	0,509
1022	1,12	0,895
1023	1,04	0,755
1023	1,64	2,19
1023	2,44	2,6
1023	1,86	1,5
1023	0,664	1,04
1023	2,46	1,82
1024	1,39	1,23
1024	0,582	1,6
1024	2,96	2,31
1025	2,07	1,95
1025	0,995	0,766
1025	1,38	1,57
1028	1,21	1,09
1030	1,03	1,3
1033	1,44	2,06
1033	1,13	0,647
1033	1,25	2,02
40001	0,322	1,09
40001	0,843	1,1
40001	2,73	2,48
40001	1,42	1,7
40001	1,3	0,756
40001	2,92	2,41
40003	0,88	1,22
40003	1,28	1,72
40004	2,23	2,35
40004	1,47	1,08
40004	1,23	2,19
40007	2,78	2,7
40007	0,521	0,628
40007	2,06	2,21
40007	1,96	1,67
40008	0,447	0,346
40010	2,11	1,43
40010	1,11	1,74
